sl,name,type,region,district,company,decision_maker,hq_city,hq_address,phone,email,scale,reg_no
167,CENTRAL DOOARS TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,MCLEOD RUSSEL INDIA LIMITED,MR. RAJEEV TAKRU,Kolkata,"Mcleod Russel India limited, Surendra Mohan Ghosh Sarani, 4, Mangoe Ln, Kolkata, West Bengal 700001",099030 96991,central-dooars@wmg.co.in,761.6 Ha,N-2
168,CHUAPARA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,MCLEOD RUSSEL INDIA LIMITED,RAJEEV TAKRU,Kolkata,"Mcleod Russel India limited, Surendra Mohan Ghosh Sarani, 4, Mangoe Ln, Kolkata, West Bengal 700001",099030 96991,chuapara@wmg.co.in,689.5 Ha,N-7
169,DIMA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,SURAJ GOVIND ESTATES PVT.,SURAJ GOVIND ESTATES PVT.,Kolkata,"Surajgovind Estates Pvt Ltd, 2, Brabourne Rd, Radha Bazar, Lal Bazar, Kolkata, West Bengal 700001",080174 45223,surajgovind.patel@gmail.com,742.8 Ha,J-39
170,JAINTI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,MCLEOD RUSSEL INDIA LIMITED,MCLEOD RUSSEL INDIA LIMITED,Kolkata,"Mcleod Russel India limited, Surendra Mohan Ghosh Sarani, 4, Mangoe Ln, Kolkata, West Bengal 700001",099030 96991,jainti@wmg.co.in,411.9 Ha,N-18
171,KALCHINI T E,Organized Estate,Dooars,Jalpaiguri,BUXA DOOARS TEA CO (I) LTD,N K BASU,Siliguri,"Deesha Trade Endeavours P. Ltd., 195, Sukanta Sarani, opp. Bsnl Residential Complex, New Milanpally, Saktigarh, Siliguri, West Bengal 734005",03566 240213,buxadoors.teastates@gmail.co,742.1 Ha,2532
172,MADHU TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,DIABARI TEA CO LTD,N M KEDIA,Kolkata,"Teesta Valley Tea Co. Ltd., 5 & 7, Netaji Subhas Road, Kolkata, West Bengal 700001",033 2248 8704,-,323.1 Ha,55
173,MECHPARA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,DARJEELING DOOARS,DARJEELING DOOARS,Kolkata,"4th Floor, Darjeeling Dooars Plantations Tea Limited, Nicco House, 2, Hare St, Above Canara Bank, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2248 7908,vipinamitagupta@gmail.com,516.0 Ha,2580
174,MERICO TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,SURAJIT BAKSHI,SURAJIT BAKSHI,Kolkata,"Q2QM+M8 SURAJ TIRKEY BNQ, Banarhat Tea Garden, West Bengal 735202",03566-200101,merico.tea.estate@gmail.com,602.1 Ha,2531
175,RAJAHBHAT TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,SRI AJAY PRAKASH,SRI AJAY PRAKASH,Kolkata,"Political Consultant- Ajay Prakash Sah, 141/1B, Lenin Sarani Rd, near Indian Overseas Bank, Taltala, Kolkata, West Bengal 700013",090884 98142,rb.ncc@alomextrusions.com,352.1 Ha,E-24
176,ATINPUR TEA ESTATE,Organized Estate,Terai,Darjeeling,ATINPUR TEA ESTATE,ATINPUR TEA ESTATE,Siliguri,"Kamalpur Tea Estate, Bagdogra - Panighata Main Rd, Kamal Pur, Uttar Bagdogra, Bagdogra, West Bengal 734014",9832097922,-,17.6 Ha,2757
177,BIJALIMONI T.E.,Organized Estate,Terai,Darjeeling,NEW TEA CO. LTD.,NEW TEA CO. LTD.,Kolkata,"New Tea Company Limited, Hindustan Building, New Tea Co. Ltd. 4 Chittaranjan Avenue, 2nd Floor, Kolkata, West Bengal 700072",033 2212 6753,-,217.8 Ha,545
178,GAYA GANGA TEA ESTATE,Organized Estate,Terai,Darjeeling,MINTRI TEA CO. PVT.LTD.,MINTRI TEA CO. PVT.LTD.,Siliguri,"Mintri Tea Warehouse, 2nd, Sevoke Rd, Ward 10, Janta Nagar, Siliguri, West Bengal 734001",0353-2005513,mngr.gayaganga.te@gmail.com,468.1 Ha,2190
179,GIRISH CHANDRA TEA ESTATE,Organized Estate,Terai,Darjeeling,A.C PAUL AGRICULTURAL CO. PVT. LTD,SALIL KRISHNA PAUL,Siliguri,"A. C. Paul & Sons, Mangturam Rd, Ward 8, Khalpara, Siliguri, West Bengal 734005",03532431675,-,79.4 Ha,2630
180,KAMALA TEA ESTATE,Organized Estate,Terai,Darjeeling,KAMALA TEA CO. LTD,SRI M.AGARWALA,Siliguri,"Kamala Tea, M5 Building, Hill cart Road, Near, Siliguri Jct Rd, Siliguri, West Bengal 734003",0353-3204178,-,517.3 Ha,1470
181,MATIDHAR TEA ESTATE,Organized Estate,Terai,Darjeeling,NEW TEA CO. LTD.,NEW TEA CO. LTD.,Kolkata,"New Tea Company Limited, Hindustan Building, New Tea Co. Ltd. 4 Chittaranjan Avenue, 2nd Floor, Kolkata, West Bengal 700072",033 2212 6753,matidhar@gmail.com,643.0 Ha,81
182,SAYEDABAD TEA ESTATE,Organized Estate,Terai,Darjeeling,SRI AJIT KUMAR AGARWALA,SRI V.D. DUA,Siliguri,"Dr. Amit Kumar Agarwal, Sanjeevani Apartment, Station Feeder Rd, New Milanpally, Saktigarh, Siliguri, West Bengal 734005",0353-6531857,teraitea@gmail.com,351.7 Ha,144
183,AVONGROVE TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,KPL INTERNATIONAL LTD,M.R. MEHTA,Kolkata,"KPL International Limited, Park Plaza, 71, Park St, Park Street area, Kolkata, West Bengal 700016",033 2217 8179,amber.subba@kplintl.com,184.0 Ha,8
184,BALASON & MURMAH,Organized Estate,Darjeeling Hills,Darjeeling,JAYSHREE TEA & INDUSTRIES,PK AGARWAL,Kolkata,"Jayshree Tea & Industries Ltd, 10, Camac St, Elgin, Kolkata, West Bengal 700071",033 2282 7531,balasunteaestate@yahoo.com,352.6 Ha,P-19
185,CHAMONG TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,SYCOTTA TEA CO. PVT. LTD.,ASHOK KR. LOHIA,Kolkata,"1st Floor, Asian Tea Company Private Limited, Gajraj Point, 209 A, AJC Bose Rd, Park Circus, Elgin, Kolkata, West Bengal 700017",033 4044 1201,chamongtea@chamong.com,139.6 Ha,D-65
186,CHONGTONG TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,SANJAY PRAKASH BANSAL,MR ANIL BANSAL,Kolkata,"Sanjay Om Prakash Gupta & Co., Chartered Accountants, 2/55 Netaji Nagar, Ground Floor, Kolkata, West Bengal 700092",098306 60012,chongtonggarden@gmail.com,373.8 Ha,2313
187,DHAJEA TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,SRI ASHOK KUMAR LOHIA & SRI,N.A,Kolkata,"Lohia Commercial Co Private Limited, Lohia House, 112, Chittaranjan Ave, Calcutta University, College Square, Kolkata, West Bengal 700073",033 2241 0531,dhajeate@chamong.com,179.3 Ha,
188,GOPALDHARA,Organized Estate,Darjeeling Hills,Darjeeling,GOPALDHARA TEA CO. PVT. LTD.,MR.S.K.SARIA,Siliguri,"Block, 1st Floor, Gopaldhara Tea Co. Pvt. Ltd., Arjun Enclave, Green Park Colony, C & E, Tea Auction Rd, Ward 46, Champasari, Mallaguri, Siliguri, West Bengal 734003",9434051277,gopaldhara@gmail.com,168.2 Ha,6
189,GYABAREE & MIIIKTHONG TEA,Organized Estate,Darjeeling Hills,Darjeeling,LAKTARIA (I) P LTD,S S BAGARIA,Kolkata,"H9H5+4HX Lakhotia Transport Co. PVT. LTD., Surti Bagan St, Kolutolla, Kolkata, West Bengal 700073",033 2235 4802,tea@bagaria.com,309.5 Ha,2517
190,LINGIA TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,SYCOTTA TEA CO. PVT. LTD.,MR.A.K.LOHIA,Kolkata,"1st Floor, Asian Tea Company Private Limited, Gajraj Point, 209 A, AJC Bose Rd, Park Circus, Elgin, Kolkata, West Bengal 700017",033 4044 1201,lingiate@chamong.com,141.6 Ha,D-67
191,MARYBONG TEA GARDEN,Organized Estate,Darjeeling Hills,Darjeeling,DUNCANS INDUSTRIES LIMITED,MR.BISWAJEET DUTTA,Kolkata,"4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 1605,marybongte@chamong.com,284.5 Ha,B 39
192,MIM,Organized Estate,Darjeeling Hills,Darjeeling,ANDREW YULE & COMPANY LIMITED,SUNIL MUNSHI,Kolkata,"ANDREW YULE & CO.LTD., Yule House, 8, Dr Rajendra Prasad Sarani, China Bazar, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 7722,yule.mim@gmail.com,187.7 Ha,M-23
193,NAGRI,Organized Estate,Darjeeling Hills,Darjeeling,DARJEELING ORGANIC TEA,SP BANSAL,Kolkata,"Darjeeling Organictea Estates Private Limited., 4A, Camac St, Kankaria Estates, Elgin, Kolkata, West Bengal 700071",9733293769,nagrigarden1@gmail.com,321.6 Ha,2411
194,NAGRIFARM TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,SRI ASHOK KUMAR LOHIA & SRI,N.A,Kolkata,"Lohia Commercial Co Private Limited, Lohia House, 112, Chittaranjan Ave, Calcutta University, College Square, Kolkata, West Bengal 700073",033 2241 0531,nagrifarmte@chamong.com,285.7 Ha,D/69
195,OKAYTI,Organized Estate,Darjeeling Hills,Darjeeling,OKAYTI TEA COMPANY LTD,SRI ANTRIKSH KUMBAT,Kolkata,"Okayti Tea Co Ltd, 1, Binoy Badal Dinesh Bag E, Lal Dighi, Lal Bazar, Kolkata, West Bengal 700001",9733007123,slg@okayti.com,213.3 Ha,2416
196,PHUGURI TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,S.S. BAGARIA,S.S.BAGARIA,Kolkata,"4th Floor, Bagaria Trading Limited, 16, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2210 7789,phuguri@bagariagroup.com,227.3 Ha,2314
197,PUSSIMBING TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,SHRI ASHOK KUMAR LOHIA,SHRI ASHOK KUMAR LOHIA,Kolkata,"Lohia Commercial Co Private Limited, Lohia House, 112, Chittaranjan Ave, Calcutta University, College Square, Kolkata, West Bengal 700073",033 2241 0531,pussimbing@chamong.com,201.2 Ha,2347
198,SEEYOK,Organized Estate,Darjeeling Hills,Darjeeling,SEEYOK TEA COMPANY LTD,K.C.AGARWAL,Kolkata,"Ste 17, Seeyok Tea Company Limited, Chowringhee Mansion, 30, Jawaharlal Nehru Rd, Taltala, Kolkata, West Bengal 700016",9434079903,tpisyk@gmail.com,154.0 Ha,2357
199,SELIMBONG TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,BRIJ MOHAN,KC AGGARWAL,Kolkata,"number 6, Brij Mohan and Company, cross road, 67/46, Strand Bank Rd, Kolkata, West Bengal 700007",098300 87666,slb@rediffmail.com,153.3 Ha,2431
200,SINGBULLI TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,JAYSHREE TEA & INDUSTRIES,MR. D.P.MAHESWARI,Kolkata,"Jayshree Tea & Industries Ltd, 10, Camac St, Elgin, Kolkata, West Bengal 700071",033 2282 7531,singbulli@gmail.com,302.7 Ha,P-21
201,SOURENEE T.E.,Organized Estate,Darjeeling Hills,Darjeeling,SHRI J.P.CHOWDHARY,J.P.CHOWDHARY,Kolkata,"Chowdhary Para, Rahara, Kolkata, West Bengal 700118",09378416250,soureneetg@gmail.com,95.5 Ha,742
202,SUNGMA TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,JAYSHREE TEA & INDUSTRIES,SHRI D.P. MAHESWARI,Kolkata,"Jayshree Tea & Industries Ltd, 10, Camac St, Elgin, Kolkata, West Bengal 700071",033 2282 7531,sungmaorganic1@yahoo.co.in,136.0 Ha,2589
203,THURBO TEA GARDEN,Organized Estate,Darjeeling Hills,Darjeeling,GOODRICKE GROUP LIMITED,MR. A.N. SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,thurbo@goodricke.com,488.4 Ha,B44
204,BAGDOGRA TEA ESTATE,Organized Estate,Terai,Darjeeling,MR AJIT KUMAR AGARWALA,MR V D DUA,Siliguri,"Dr. Ajit Kumar Singh - Best Nephrologist in Siliguri | Kidney Doctor in Siliguri | Best Kidney Transplant Doctor in Siliguri, Inside Uttarayan Township City centre Matigara, Siliguri, West Bengal 734010",03532003210,teraitea@gmail.com,262.3 Ha,2427
205,COOCH BEHAR T.E,Organized Estate,Terai,Darjeeling,COOCH BEHAR TEA CO LTD,S.S.AGARWAL & SUMIT AGARWAL,Kolkata,"Coochbehar Tea Company Limited, 4, Fairlie Pl Rd, Fairley Place, B.B.D. Bagh, Kolkata, West Bengal 700001",09434490571,koochbeharteagardenfkt@yahoo.co,224.3 Ha,2169
206,KAMALPUR,Organized Estate,Terai,Darjeeling,RAJENDRA AGARWAL &,RAJENDRA AGARWAL &,Siliguri,"Ground floor, J.R. AGARWAL AND ASSOCIATES, Anjani Apartment, Agrasen Rd, opposite Maheswari Bhawan, Ward 9, Khalpara, Siliguri, West Bengal 734005",9733300329,-,65.9 Ha,277
207,MARIONBARIE,Organized Estate,Terai,Darjeeling,JAYSHREE TEA & INDUSTRIES,D.P. MAHESHWARI,Kolkata,"Jayshree Tea & Industries Ltd, 10, Camac St, Elgin, Kolkata, West Bengal 700071",033 2282 7531,marionbarie11@gmail.com,329.1 Ha,2070
208,MATIGARA T E,Organized Estate,Terai,Darjeeling,MR RAJESH GARG,0,Siliguri,"Dr Rajesh Agarwal - Pulmonologist/Chest specialist, Shanti nursing home Uday shankar sarani, Sevoke Rd, beside International Market, Siliguri, West Bengal 734001",94348-91476,-,142.1 Ha,136
209,MOHURGONG & GULMA TEA ESTATE 126/1712,Organized Estate,Terai,Darjeeling,MOHURGONG &GULMA TEA,MR ADITYA PAL CHOUDHURY,Kolkata,"Mohurgong & Gulma Tea Estates, P17, Ganesh Chandra Ave, Chandni Chawk, Bowbazar, Kolkata, West Bengal 700013",093300 31861,slg@yahaoo.com,694.1 Ha,
210,NEW CHUMTA TEA ESTATE,Organized Estate,Terai,Darjeeling,ROOPCHERA TEA CO. PVT. LTD.,S. BAJORIA,Kolkata,"Dhruba Tea Centre, 2, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001",033 4005 3157,newchumta@ntcl.in,285.0 Ha,R-72
211,NISCHINTAPUR TEA ESTATE,Organized Estate,Terai,Darjeeling,MR GOVIND GARG,MR GOVIND GARG,Kolkata,"G8FQ+R46 Govind kr, Alipore, Kolkata, West Bengal 700027",9230060666,manager.nte@gmail.com,167.2 Ha,224
212,PUTINBARI TEA ESTATE,Organized Estate,Terai,Darjeeling,PUTINBARI TEA ASSOCIATION LTD,PUTINBARI TEA ASSOCIATION,Kolkata,"Q8FH+XPQ Putinbari Tea Garden, SH12, Khaprail, West Bengal 734009",095637 92361,putinbareetea@gmail.com,159.4 Ha,2329
213,SIMULBARIE,Organized Estate,Terai,Darjeeling,SIMULBARIE TEA CO. (P) LTD.,MADAN MOHAN SHARMA,Kolkata,"Silonibari Tea Co Ltd, 5B, Alipore Park Rd, Alipore, Kolkata, West Bengal 700027",9434044275,slg_bansal@sancharnet.com,394.3 Ha,2277
214,SUKNA,Organized Estate,Terai,Darjeeling,SUKNA TEA & INDUSTRIES LTD,S.K. KALYANI,Kolkata,"Sukna Tea & Industries Limited, 2-5, Sarat Bose Rd, Sreepally, Ballygunge, Kolkata, West Bengal 700020",03532574034,suknatea@hotmail.com,282.6 Ha,34
215,BARADIGHI T.E,Organized Estate,Dooars,Jalpaiguri,RYDAK SYNDICATE LIMITED,MR. R MACWAN,Kolkata,"Rydak Syndicate Limited, 4, Dr Rajendra Prasad Sarani, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2230 4351,rydak@vsnl.net,556.0 Ha,N-12
216,BUDS TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,BUDS TEA INDUSTRIES,SUBRATA SAHA/DEBABRATA,Siliguri,"Buds Tea Factory, Bagjan, West Bengal 735302",03561-230060,budstea@gmail.com,20.7 Ha,3901
217,JADABPUR TEA GARDEN,Organized Estate,Dooars,Jalpaiguri,JADABPUR TEA CO LTD,L.N.GUPTA,Kolkata,"Jadabpur Tea Company Limited, 3A, Hare St, Lal Bazar, B.B.D. Bagh, Kolkata, West Bengal 700001",03561-275261,jadabpurtea@rediffmail.com,141.9 Ha,168
218,NOWERA NUDDY TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,AMALGAMATED PLANTATIONS,MR. DIPAK ATAL,Assam,"Amalgamated Plantations Guwahati, GS Rd, Ananda Nagar, Christian Basti, Guwahati, Assam 781005",0361 234 0037,-,257.8 Ha,A-7
219,SONAR BANGLA TEA CO (P) LTD,Organized Estate,Dooars,Jalpaiguri,SONAR BANGLA TEA CO (P) LTD,SANJOY AGARWALLA,Jalpaiguri,"GV57+6GF Sonar Bangla Tea Co, Pvt. Ltd, Paschim Salbari, West Bengal 735305",9434039248,-,42.5 Ha,4137
220,TRISAKTI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,TRISAKTI TEA CO (P) LTD,SAIBAL GANGULY,Kolkata,"1, Ground Floor, Victoria Tea Company, Martin Burn House, Head Quarter, RN Mukherjee Rd, opposite Lal Bazar, Lal Bazar, Kolkata, West Bengal 700001",033 2210 7383,-,56.8 Ha,3969
221,BARUAPARA TEA ESTATE,Organized Estate,Terai,Jalpaiguri,KUKURJAN AGRO PRODUCT PVT LTD,RAJENDRA KR. GOYAL,Jalpaiguri,"Ruchi Agro Products Private Limited, near Sarodamani High School, School Para, Fatapukur, Chhat Guzrimari, West Bengal 735134",9002680366,-,46.6 Ha,3601
222,BHANDAPUR TEA ESTATE,Organized Estate,Terai,Jalpaiguri,SHIKARPUR & BHANDAPUR TEA,NARENDRA BERLIA,Siliguri,"JHGF+3Q5 Shikarpur Tea Estate Factory, Shikarpur, West Bengal 735133",9800136393,shikarpurteaestate@gmail.com,120.1 Ha,1614
223,BHANDIGURI,Organized Estate,Terai,Jalpaiguri,ARUN KUMAR MUNDRA,AMITAVA SENGUPTA,Jalpaiguri,"Arun Watch Co, Dinbazar Rd, Jalpaiguri, West Bengal 735101",096353 04056,goowill_154@yahoo.co.in,320.2 Ha,30
224,BHARDESHWAR TEA PLANTATION,Organized Estate,Terai,Jalpaiguri,PARTHA PRATIM PAUL,PARTHA PRATIM PAUL,Jalpaiguri,"Dr Partha Pratim Deb, Basu's Clinic, Nandalal Basu Sarani, College Para, Hakim Para, Siliguri, West Bengal 734001",089105 86504,-,106.0 Ha,3674
225,BHASANI TEA ESTATE,Organized Estate,Terai,Jalpaiguri,SANJIT PAUL,SANJIT PAUL,Siliguri,"Shop No - 0108, First Floor, Dr.Paul's Multispeciality Clinic Pvt. Ltd., City Centre Mall, Block - A, Matigara, Siliguri, West Bengal 734010",9832064039,-,40.0 Ha,3673
226,GADRA TEA ESTATE,Organized Estate,Terai,Jalpaiguri,BINDO BEHARI TEA INDUSTRIES PVT LTD,DR. SUSANTA KR. ROY,Siliguri,"Dewill Industries Pvt Ltd, Ashirbad Apartment, Road, 02, Rd Number 2, Siliguri, West Bengal 734005",9775428615,-,22.7 Ha,2799
227,HARINAGAR TEA ESTATE,Organized Estate,Terai,Jalpaiguri,RUCHI AGRO PRODUCTS PVT LTD SANDIP AGARWAL,". ROAD, SILIGURI BAZAR,",Siliguri,"Ruchi Agro Products Private Limited, near Sarodamani High School, School Para, Fatapukur, Chhat Guzrimari, West Bengal 735134",98320-41691,slsandip@yahoo.com,18.0 Ha,4144
228,HIRALAL TEA GARDEN,Organized Estate,Terai,Jalpaiguri,NARAYAN CHANDRA DUTTA,NARAYAN CHANDRA DUTTA,Siliguri,"Dr. Arunava Datta, Pratik Medico, Hill Cart Rd, opposite Howrah Petrol Pump, Ward 10, Janta Nagar, Siliguri, West Bengal 734001",9933391167,bissudut@rediffmail.com,84.4 Ha,2675
229,JAGAT BANDHU TEA ESTATE,Organized Estate,Terai,Jalpaiguri,DILIP KR. GHOSH,DILIP KR. GHOSH,Kolkata,"Dr Dilip Kr Ghosh, Salt Lake, BF 247, BF Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",033 2337 4736,-,42.5 Ha,3777
230,JANAKI GOSAI TEA ESTATE,Organized Estate,Terai,Jalpaiguri,JANAKI GOSAI TEA ESTATE PVT LTD,JAYANTA BANIK,Jalpaiguri,"HJWP+HG7 Joypur Tea Estate, Patkata Colony, Denguajhar, Jalpaiguri, West Bengal 735121",03561-276882,julie_jayanta@yahoo.co.in,20.5 Ha,3801
231,RUNGGOTI TEA GARDEN,Organized Estate,Terai,Jalpaiguri,NPS COLD STORAGE PVT LTD,NANI GOPAL PAUL,Siliguri,"Nps Cold Storage Pvt. Ltd., Nps cold Storage pvt. Ltd, Fatapukur, Chhat Guzrimari, West Bengal 735134",0353-2436673,-,44.5 Ha,3994
232,SHAAKTIMANN TEA ESTATE,Organized Estate,Terai,Jalpaiguri,GOLDEN LEAF TEA PLANTATIONS ASHOK KUMAR AGAEWAL,GOLDEN LEAF TEA,Siliguri,"Golden Leaf, near Murgi Hati Bidhan Market, Ward 11, Hakim Para, Siliguri, West Bengal 734001",9434760747,goldenleaf@rediffmail.com,94.0 Ha,3086
233,SHIKARPUR TEA ESTATE,Organized Estate,Terai,Jalpaiguri,SHIKARPUR & BHANDAPUR TEA,NARENDRA BERLIA,Siliguri,"JHGF+3Q5 Shikarpur Tea Estate Factory, Shikarpur, West Bengal 735133",9800136393,shikarpurteaestate@gmail.com,491.4 Ha,1615
234,SHYAMAL BAG TEA ESTATE,Organized Estate,Terai,Jalpaiguri,HARISHPUR TEA CO. PVT. LTD.,SAIBAL GANGULY,Kolkata,"Flat no. 2A( 2nd floor, Harishpur Tea Company Private Limited, Kolkatta Branch Office, 18/1, Gariahat Rd, Ballygunge Gardens, Gariahat, Kolkata, West Bengal 700019",033 2460 2870,-,28.1 Ha,3979
235,BILATIBARI TEA ESTATE,Organized Estate,Terai,Uttar Dinajpur,BILATIBARI TEA COMPANY PVT. LTD,BILATIBARI TEA COMPANY PVT.,Islampur,"Bilatibari Tea Co. Factory, Dakshin Kundal Pukhar, West Bengal 733207",03526255224,bilatibariteaco@gmail.com,45.5 Ha,3693
236,CHANDAN TEA ESTATE,Organized Estate,Terai,Uttar Dinajpur,CHANDAN TEA INDUSTRIES PVT.,MR. RAJ BANSAL,Kolkata,"Chandan Tea Industries Pvt Ltd, 4, Chittaranjan Ave, Esplanade, Chandni Chawk, Bowbazar, Kolkata, West Bengal 700072",09733244970,-,257.2 Ha,2877
237,DEBIJHORA,Organized Estate,Terai,Uttar Dinajpur,DEBIJHORA TEA CO. LTD.,A. K. CHATTEERJEE,Siliguri,"Debijhora Tea Estate Factory, Butijhari, West Bengal 733207",9735038114,samdutt62@gmail.com,305.4 Ha,200
238,GOALGACH TEA ESTATE,Organized Estate,Terai,Uttar Dinajpur,473.66,0,Kolkata,"Kolkata, West Bengal",9333057749,-,473.7 Ha,
239,GOPE TEA ESTATE,Organized Estate,Terai,Uttar Dinajpur,GOPE TEA PLANTATION PVT. LTD. MR. DIPAK GOPE,"DYA SAGAR PALLY,P.O.",Siliguri,"9CV7+7Q9 Gope Tea Plantation Factory, GOPE TEA ESTATE VILL. UTTAR HAZARBIGHA P.O. ASAARU BASTI P.S. CHOPRA, Daspara, Ghirnigaon Khas, West Bengal 733207",09932144072,adv.dipakgope@yahoo.com,46.2 Ha,2857
240,GUPTA TEA ESTATE,Organized Estate,Terai,Uttar Dinajpur,GUPTA TEA ESTATE,MR. KRISHNA KR GUPTA,Other / Unspecified,"Gupta Tea Estate, Bhadrapur, Koshi Province 57200, Nepal",+977 981-5050555,badamitea@rediffmail.com,34.0 Ha,4181
241,ICHHAMOTI,Organized Estate,Terai,Uttar Dinajpur,PURBASHA PLANTATIONS & TEA,MRS. DEBOMITRA DEY SARKAR,Siliguri,"First Floor, Deepak Plastic Udyog, 262, Bidhan Rd, Ward 11, Hakim Para, Siliguri, West Bengal 734001",9832435772,purbashaslgind@yahoo.in,134.9 Ha,3978
242,JOTINDRA MOHAN,Organized Estate,Terai,Uttar Dinajpur,JOTINDRA MOHON TEA,PROKASH DAS,Darjeeling,"CCX2+GC8 Jatindra Mohan Tea Company Factory, Choagari, West Bengal 733207",093990 38532,adv.dipakgope@yahoo.com,51.5 Ha,
243,KUSUM TEA ESTATE,Organized Estate,Terai,Uttar Dinajpur,NORTH BENGAL TEA PLANTATION JAGDISH PRASAD AGARWAL,ILIGURI,Siliguri,"WARD NO 5, North Bengal Tea & Allied, Hanuman Mandir Rd, Ganga Nagar, Mahananda Para, Siliguri, West Bengal 734005",03532502010,kusum.slg@gmail.com,204.0 Ha,2707 NC
244,LAKHIPUR (DUNCANS),Organized Estate,Terai,Uttar Dinajpur,DUNCANS INDUSTRIES LIMITED,MR M GURBAXANI,Kolkata,"4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 1605,-,126.8 Ha,
245,MAHAMAYA TEA ESTATE,Organized Estate,Terai,Uttar Dinajpur,MAHAMAYA AGRO INDUSTRIES PVT. LTD.,MR. SWAPAN DAS,Islampur,"Mahamaya Tea & Agro Industries Pvt Ltd, Sonamoti Rd, BSF Camp, Gunabari, West Bengal 733202",098517 83306,das.sqapan65@yahoo.com,53.3 Ha,4152
246,MATRI,Organized Estate,Terai,Uttar Dinajpur,M C NANDI,NIL,Islampur,"Nandi Trading, Netaji Subhash Rd, Teenpool, Islampur, West Bengal 733202",03526 255 224,nanditeaslg@bsnl.in,129.0 Ha,2879
247,MAYA TEA ESTATE,Organized Estate,Terai,Uttar Dinajpur,SEAL & CO (P) LTD.,PRABIR SEAL,Siliguri,"Dolphin Labels, 453, Bidhan Rd, beside P.G.Jewellers, near Auto Stand, Ward 11, Hakim Para, Siliguri, West Bengal 734001",03532435425,sealtea@sanchernet.in,59.0 Ha,4236
248,PARAGON TEA ESTATE,Organized Estate,Terai,Uttar Dinajpur,.81,38.40,Islampur,"Islampur, West Bengal",9434741736,-,38.4 Ha,4172
249,PATAGORA TEA GARDEN (DUNCANS,Organized Estate,Terai,Uttar Dinajpur,DUNCANS INDUSTRIES LIMITED,DUNCANS INDUSTRIES LIMITED,Kolkata,"4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 1605,-,295.9 Ha,
250,"PUSPA TEA ESTATE PVT. LTD.,",Organized Estate,Terai,Uttar Dinajpur,PUSPA TEA ESTATE PVT. LTD,PUSPA TEA ESTATE PVT. LTD,Other / Unspecified,"CCQQ+788 Puspa Tea Estate, Uttar Jaypura, West Bengal 733207",03532535668,sondeepteapvt.ltd50@yahoo.in,54.1 Ha,2859
251,RAHAMAN AGRO PLANTATION PVT.,Organized Estate,Terai,Uttar Dinajpur,RAHAMAN AGRO PLANTATION,MR. JAHANGIR ALAM,Siliguri,"RAHAMAN AGRO PLANTATION TEA FACTORY, Dakshin Kundal Pukhar, West Bengal 733207",9635303122,jajhangiralam62@gmail.com,83.0 Ha,2141
