Serial,Garden Name,Reg No,Region,District,Subdivision,Company Status,Grant Area (Ha),Tea Area (Ha),Association,Garden Address,Garden Phone,Garden Email,Owner / Company,Owner HQ Address,Owner Phone,Owner Fax,Owner Email,CEO / Principal,CEO Address,CEO Phone,CEO Email,HQ City
113,"EDENVALE","7","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",41.26,28.34,"ITA","PO-TUNG, DIST DARJEELING,WB",,,"AMGOORIE INDIA LIMITED","CAMELLIA HOUSE,14,, GURUSADAY ROAD, KOLKATA-19","03322873067","033-22872577","ansing@goodricke.com","A . N. SINGH","CAMELLIA HOUSE,14,, GURUSADAY ROAD, KOLKATA-19","03322873067","ansing@goodricke.com","Kolkata"
114,"GING TEA ESTATE","F-8\2","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",632.14,254.11,"TRA","LEBONG DARJEELING",,,"BD TEA ESTATE PVT. LTD.","BD TE PVT LTD 229,A.J. C. BOSE, ROAD","22817486","033-22817486","bdtcpt@dataone.in","B K TIBREWAL","B D T .E. PVT LTD 229, A J C BOSS, ROAD CRESENT TOWER 7TH, FLOOR KOLKATA 20","0","bdtcpt@dataone.in","Kolkata"
115,"GLENBURN TEA ESTATE","D-66","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",758.85,285.49,"ITA","P.O.DARJEELING,DIST DARJEELING",,,"DLX LIMITED","KANAK BUILDING,41 CHOWRINGH KAN, ROAD,KOLKATA-700071","9832045945","","glenburn1859@yahoo.com","MR.K.N.NOWROJEE","AK BUILDING,41 CHOWRINGH, ROAD,KOLKATA-700071","9831211142","dlap@live.com","Kolkata"
116,"HAPPY VALLEY TEA ESTATE","100","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",177.36,122.82,"DTA","PO-DARJEELING DIST-DARJEELING, WEST BENGAL",,,"MR. SANJAY BANSAL","KOLKATA, E-, Mail :ambplantation@ambootia.com","03324391966","03324391967","ambplantation@ambootia.com","MR. SANJAY BANSAL","KOLKATA, E-, Mail :ambplantation@ambootia.com","03324391966","ambplantation@ambootia.com","Kolkata"
117,"KALEJ VALLEY TEA ESTATE","2334","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",500.54,237.56,"TRA","P.O. GHOOM DIST., DARJEELING,WEST BENGAL",,,"K.D. SINGH","M/S DOOTERIAH & KALEJ VALLEY, TEA ESTATES PVT. LTD. 10TH, FLOOR KRISHNA BUILDING, 224AJC BOSE ROAD, KOLKATA-17","03364505743","03322891372","dtkv@vsnl.net","DEBABRATA MITRA","M/S DOOTERIAH & KALEJ VALLEY, TEA ESTATES PVT. LTD. 10TH, FLOOR KRISHNA BUILDING, 224AJC BOSE ROAD, KOLKATA-17, E-, Mail :debabrata.mitra@alchemist.co.i, n","8830017460","debabrata.mitra@alchemist.co","Kolkata"
118,"LIZAHILL TEA ESTATE","1954","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",183.67,114.67,"DTA","RISHEEHAT TEA, ESTATE,PO.RISHEEHAT, DARJEELING",,,"JAYSHREE TEA & INDUSTRIES","LTD., 10, CAMAC STREET, INDUSTRIAL, HOUSE, 15TH FLOOR, KOLKATA -, 700017","03322827531","03322827535","dpm@jayshreetea.com","D.P.MAHESHWARI","10, CAMAC STREET, INDUSTRIAL, HOUSE, 15TH FLOOR, KOLKATA -, 700017","03322827531","dpm@jayshreetea.com","Kolkata"
119,"MARGARET'S HOPE","E-47","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",778.1,361,"ITA","PO-TUNG,DIST-DARJEELING,WB",,,"AMGOORIE INDIA LIMITED","CAMALLIA HOUSE,14,, GURUSADAY ROAD, KOLKATA-19","033 2287 3067","033 2287 2577","ansingh@goodricke.com","A N SINGH","CAMALLIA HOUSE,14,, GURUSADAY ROAD, KOLKATA-19","033 2287 3067","ansingh@goodricke.com","Kolkata"
120,"NORTH TUKVAR","2463","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",516.98,195.48,"DTA","P.O. DARJEELING - 434 101",,,"NORTH TUKVAR TEA CO. LTD.","INDUSTRY HOUSE, 15TH FLOOR,, 10, CAMAC STREET, KOLKATA -, 700 017.","03322827531/34","033-22827535","dpm@jayshreetea.com","D.P. MAHESHWARI","INDUSTRY HOUSE, 15TH FLOOR,, 10, CAMAC STREET, KOLKATA -, 700 017.","03322827531/34","dpm@jayshreetea.com","Kolkata"
121,"NURBONG TEA ESTATE","218","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",496.68,271.22,"TRA","P.O. NURBONG DIST. DARJEELING, WEST BENGAL",,,"DARJEELING ORGANIC TEA","ESTATES PVT. LTD., 20 KOL BERTH HOBOKEN ROAD, KOLKATA, E-, Mail :krishnenduchatterjee@airtelblac, kberry.com","9001883165","03324391927","","K.C. CHATTERJEE","20 COAL BERTH HOBOKEN ROAD, KOLKATA, E-, Mail :krishnenduchatterjee@airtelblac, kberry.com","9001883165","","Kolkata"
122,"OAKS TEA ESTATE","2094","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",175.33,138.91,"ITA","P.O. SONADA,DIST DARJEELING",,,"S.K.AGARWAWAL","DEARS TEA CO. PVT. LTD., ,P.O. SONADA,DIST DARJEELING","03322832947","03322832943","","MR MAHENDRA AGARWALA","OAKS TEA ESTATE,P.O., SONADA,DIST DARJEELING","03322832947","","Kolkata"
123,"ORANGE VALLEY TEA ESTATE","1959","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",339.54,189.49,"TRA","P.O. RISHEEHAT DIST. DARJEELING, (WB)",,,"SS BAGARIA","12C SINHA ROAD FLAT NO. 6, SHYAMKUNJ KOLKATA- 71","03340140023","03322824145","tea@bagaria.com","B.K. BIHANI","12C SINHA ROAD FLAT NO. 6, SHYAMKUNJ KOLKATA- 71","03340140023","tea@bagaria.com","Kolkata"
124,"PANDAM","2063","Darjeeling Hills","DARJEELING","DARJEELING","Public Sector",381,131.32,"DTA","P.O. & DIST : DARJEELING",,,"WEST BENGAL TEA","DEVELOPMENT CORPORATION, LTD., SHYAMKUNJ COMPLEX, 12B,, LORD SINHA ROAD, 3RD FLOOR,, FLAT NO. 21, KOLKATA - 700 071","033-22821284","03322824935","webtea@vsnl.net","M. GUHA ROY","SHYAMKUNJ COMPLEX, 12B,, LORD SINHA ROAD, 3RD FLOOR,, FLAT NO. 21, KOLKATA - 700 071","033-22821284","webtea@vsnl.net","Kolkata"
125,"PHOOBSERING TEA ESTATE","F8/3","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",510.15,235.77,"TRA","PHOOBSERING TEA ESTATE P.O:, LEBONG DIST: DARJEELING",,,"B.D. TEA ESTATES PVT. LTD.","BD TEA ESTATE PVT. LTD 229AJC BD T, BOSE ROAD KOLKATA700020","03322817486","","bdtphobseringte@yahoo.com","B K TEBREWAL","EA ESTATE PVT. LTD 229AJC, BOSE ROAD KOLKATA700020","03322817486","bdtphobseringte@yahoo.com","Kolkata"
126,"RISHEEHAT TEA ESTATE","2194","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",199.11,141.78,"DTA","PO.RISHEEHAT,DARJEELING",,,"JAYSHREE TEA & INDUSTRIES","LTD., 10,CAMAC STREET,INDUSTRY, HOUSE,15TH FLOOR, KOLKATA -, 700017","03322827531","03322827535","dpm@jayshreetea.com","D.P.MAHESHWARI","10,CAMAC STREET,INDUSTRY, HOUSE,15TH FLOOR, KOLKATA -, 700017","03322827531","dpm@jayshreetea.com","Kolkata"
127,"RUNGLEE RUNGLIOT","B-46","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",417.6,183.97,"TRA","PO-RUNGLEE,DIST -DARJEELING,WB",,,"DUNCANS INDUSTRIES LIMITED","31,NS ROAD,DUNCANS, HOUSE,KOLKATA-700001","2209642185","2486021","","M.GURBAXANI","31,NS ROAD,DUNCANS, HOUSE,700001","2209642185","rungtg@rediffmail.com","Kolkata"
128,"RUNGMOOK/CEDARS TEA ESTATE","2684","Darjeeling Hills","DARJEELING","DARJEELING","Public Sector",713.16,460.71,"DTA","P.O. SONADA,DIST DARJEELING",,,"WEST BENGAL TEA","DEVELOPMENT CORPORATION, LTD., 12 B LORD SINHA, ROAD,'SHYAMKUNJ'3RD FLOOR, KOLKATA-71","033-22821284","03322824935","webtea@vsnl.net","WEST BENGAL TEA","DEVELOPMENT CORPORATION, LTD., 12 B LORD SINHA, ROAD,'SHYAMKUNJ'3RD FLOOR, KOLKATA-71","033-22821284","webtea@vsnl.net","Kolkata"
129,"S00M TEA ESTATE","D-70","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",507,237.28,"","NORTH POINT DARJEELING",,,"ASHOK KUMAR LOHIA","2,N C DUTTA ROAD KOLKATA-1","0","0","","0","2, N C DUTTA SARANI KOLKATA-1","03330936400","chamong@snonline.com","Kolkata"
130,"SHREE DWARIK T E","2421","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",507.09,181.14,"None","NORTHPOINT DARJEELING",,,"MR A K LOHIA","SYCOTTA TEA CO. PVT. LTD., 2,N.C.DUTTA SARANI, SAGAR, ESTATE,KOLKATA-1","9331262137","03322437923","chamong@snosline.com","MR A K LOHIA","2,N C DUTTA ROAD KOL-1","03330936437","chamong@sanoline.com","Kolkata"
131,"SINGTOM TEA ESTATE","2031","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",579,236.54,"None","P.O. NORTH POINT DIST DARJEELING, WEST BENGAL",,,"MOHAN KUMAR CHIRIMAR","CAMELLIA TEA GROUP PVT. LTD., 71, PARK STREET, PARK PLAZA, 5TH FLOOR KOLKATA-16","0332290092","033224491188","mohan@rexiindia.net","MOHAN KUMAR CHIRIMAR","CAMELLIA TEA GROUP PVT. LTD., 71, PARK STREET, PARK PLAZA, 5TH FLOOR KOLKATA-16","0332290092","mohan@rexiindia.net","Kolkata"
132,"TEESTA VALLEY TEA ESTATE","P-17","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",717.4,297.47,"ITA","P.O. RUNGLI RUNGLIOT DIST., DARJEELING WEST BENGAL",,,"TEESTA VALLEY TEA CO LTD","3, NETAJI SUBHASH ROAD, KOLKATA-1","0332248356","","akroy@teestavalley.com","A.K. ROY","3, NETAJI SUBHASH ROAD, KOLKATA-1","0332248356","akroy@teestavalley.com","Kolkata"
133,"TUKVAR","2368","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",892.03,436.72,"DTA","P.O. TUKVAR, DARJEELING - 734 104., E-, Mail :rajeshpareek2007@rediffmail.com",,,"JAYSHREE TEA & INDUSTRIES","LTD., INDUSTRY HOUSE, 15TH FLOOR,, 10, CAMAC STREET, KOLKATA -, 700 017.","033-22827531","033-22827535","dpm@jayshreetea.com","D.P. MAHESHWARI","INDUSTRY HOUSE, 15TH FLOOR,, 10, CAMAC STREET, KOLKATA -, 700 017.","033-22827531","dpm@jayshreetea.com","Kolkata"
134,"TUMSONG TEA ESTATE","D/18","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",180.22,113.8,"DTA","P.O. GHOOM, DIST. DARJEELING -, 734102",,,"SYCOTTA TEA CO. PVT. LTD.","2 N.C.DUTTA SARANI,5TH, FLOOR,UNIT-1,SAGAR, ESTATE,KOLKATA1","03330936400","","tumsongte@chamong.com","MR.ASHIOK KUMAR LOHIA","2 N.C.DUTTA SARANI,5TH, FLOOR,UNIT-1,SAGAR, ESTATE,KOLKATA1","9830047951","tumsongte@chamong.com","Kolkata"
135,"TURZUM TEA ESTATE","2590","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",229.57,145.95,"DTA","POKHRIABONG,DIST-, DARJEELING,PIN 734216",,,"JAYSHREE TEA & INDUSTRIES","LTD., INDUSTRY HOUSE 10,CAMAC, STREET,KOLKATA- 700017","03322827531","03322827535","","SHRI D.P. MAHESWARI","INDUSTRY HOUSE 10,CAMAC, STREET,KOLKATA-17,WEST, BENGAL","09433027968","dpm@jayshreetea.com","Kolkata"
136,"ASHAPUR TEA ESTATE","252","Terai","DARJEELING","NUXALBARI","Public Ltd Co",166.16,125.12,"ITA","P.O. NAXALBARI DIAT. DARJEELING, (WB) 734429",,,"THE ASHAPUR TEA CO. LTD.","17, BALLYGUNGE GARDENS, KOLKATA-19","03323353200","","ashapurtea@hotmail.com","MR. TULSIDAS SANYAL","17, BALLYGUNGE GARDENS, KOLKATA-19","03323353200","ashapurtea@hotmail.com","Kolkata"
137,"ATAL","566","Terai","DARJEELING","NUXALBARI","Public Ltd Co",532.32,360.51,"TAI","P.O. HATIGHISA , DIST: DARJEELING.",,,"ATAL TEA CO. (1943) LTD.","4, C.R. AVENUE, KOLKATA -, 700072","033-22126753","033-22129696","atalteaestate@gmail.com","ARVIND KUMAR","4, C.R. AVENUE, KOLKATA -, 700072","9831149644","atalteaestate@gmail.com","Kolkata"
138,"AZAMABAD","2327","Terai","DARJEELING","NUXALBARI","Public Ltd Co",160.92,131.11,"ITPA","P.O. NAXALBARI, DIST. DARJEELING",,,"AZAMABAD TEA CO. (P) LTD","SPENCER PLAZA, 2ND FLOOR,, BURDAWAN ROAD, SILIGURI, 734005","0353-2500744","0353-2500745","ajaigargslg@yahoo.co.in","AJAY GARG","SPENCER PLAZA, 2ND FLOOR,, BURDAWAN ROAD, SILIGURI, 734005","0353-2500744","ajaigargslg@yahoo.co.in","Siliguri"
139,"BELGACHI TEA ESTATE","2162","Terai","DARJEELING","NUXALBARI","Public Ltd Co",919.7,462.83,"","P.O. NAXALBARI DIST. DARJEELING, (WB)",,,"462.83","","","","","37970","LIMITED                           CHARCH ROAD SILIGURI, C                               CHARCH ROAD SILIGURI              Tel :9434061231","9434061231","amit.mlagroup@gmail.com","Siliguri"
140,"BHOJNARAIN TEA ESTATE","1953","Terai","DARJEELING","NUXALBARI","Public Ltd Co",341.95,246.79,"ITPA","P.O: RAMALA BAGAN, BAGDOGRA, DIST.DARJEELING, WEST BENGAL",,,"BHOJNARAIN TEA CO. LTD","HOTEL PRAKASH BLDG., HILLCART ROAD, SILIGURI (W.B)","0353-2536730","","","BHOJNARAIN TEA CO. LTD","HOTEL PRAKASH BLDG., HILLCART ROAD, SILIGURI (W.B)","0353-2536730","","Siliguri"
141,"BIJOYNAGAR T.E.","","Terai","DARJEELING","NUXALBARI","Public Ltd Co",350.94,274.37,"","PO-BAGDOGRA,DIST-, DARJEELING,WEST BENGAL",,,"BIJOYNAGAR TEA CO. LTD","BIJOYNAGAR TEA CO., LTD,11,GOVT. PLACE EAST,, KOLKATTA-69","03322487629","03322486682","btcl@cal2.vsnl.net","BIJOYNAGAR TEA CO. LTD","BIJOYNAGAR TEA CO., LTD,11,GOVT. PLACE EAST,, KOLKATTA-69","03322487629","btcl@cal2.vsnl.net","Kolkata"
142,"FULBARI PATAN TEA ESTATE","176","Terai","DARJEELING","NUXALBARI","Partnership",312.17,99.33,"TRA","P.O. SIMULBARI DIST. DARJEELING, (WB)",,,"FULBARI PATAN TEA ESTATE","11, RN MUKHERJEE ROAD NILHAT, HOUSE KOLKATA-1","03322488582","03322486992","","KAMAL SINGH BAID","11, RN MUKHERJEE ROAD NILHAT, HOUSE KOLKATA-1","03322488582","","Kolkata"
143,"GUNGARAM TEA ESTATE","B32","Terai","DARJEELING","NUXALBARI","Proprietorship",924.97,642.31,"TRA","PO-BAGDOGRA DIST-DARJEELING, 734014",,,"MR. G.P.GOENKA","31 N.S.ROAD KOLKATA700001","033-2200962","033-2486021","gung@duncans-tea.com","MR. A.K.GOEL","31 N.S.ROAD KOLKATA700001","033-2200962","akgoel@duncans-tea.com","Kolkata"
144,"HANSQUA TEA ESTATE","B-35","Terai","DARJEELING","NUXALBARI","Public Ltd Co",646.94,545.42,"TAI","P.O : BAGDOGRA, DIST.DARJEELING, WEST BENGAL",,,"R.D TEA LTD","4,MIDDLETON STREET, KOLKATA-700071","033-32979592","033-22874047","rdtbharat@gmail.com","R.D TEA LTD","4,MIDDLETON STREET, KOLKATA-700071","033-32979592","rdtbharat@gmail.com","Kolkata"
145,"JAYANTIKA","2539","Terai","DARJEELING","NUXALBARI","Public Ltd Co",706.47,585.21,"ITA","PO-SAHABAD,DIST-DARJEELING,WB",,,"JAYSHREE TEA & INDUSTRIES","LTD., 10 CAMACSTREET KOLKATA-1","033-22827531","","birlatea@giascio1.vsnl.net.in","D P MAHASHWARI","10 CAMAC STREET, KOLKATA-1","033 22827531","birlatea@giasc101.vsnlnet.in","Kolkata"
146,"KIRAN CHANDRA","118","Terai","DARJEELING","NUXALBARI","Public Ltd Co",356.31,270.38,"None","PO-BAGDOGRA,DIST-, DARJEELING,WB",,,"NEW DARJEELING UNION TEA","CO.LTD., MAHANANDAPARA, SILIGURI,WB","9832061689","","ndutcoslg123d@gmail.com","NEW DARJEELING UNION TEA","CO.LTD., MAHANANDAPARA, SILIGURI,WB","9832061689","ndutcoslg123d@gmail.com","Siliguri"
147,"LOHAGARH TEA ESTATE","1671","Terai","DARJEELING","NUXALBARI","Public Ltd Co",329.56,226.36,"TRA","P.O. BELGACHI DIST. DARJEELING, WEST BENGAL",,,"AJIT KUMAR AGARWAL","AGARWALA HOUSE, 2ND MILE,, SEVOKE ROAD, SILIGURI","03532542656","03532542656","teraitea@gmail.com","V.D. DUA","AGARWALA HOUSE, 2ND MILE,, SEVOKE ROAD, SILIGURI","03532542656","teraitea@gmail.com","Siliguri"
148,"MANJHA TEA ESTATE","146","Terai","DARJEELING","NUXALBARI","Public Ltd Co",251.13,215.48,"TRA","P.O. BELGACHI DIST. DARJEELING, (WB)",,,"THE CORONATION TEA CO. LTD.","BABUPARA, JALPAIGURI","9830041166","03324751053","","S.K. KALYANI","M/S THE CORONATION TEA CO., LTD. BABUPARA, JALPAIGURI","9830041166/03324751035","","Kolkata"
149,"MARAPUR TEA ESTATE","254","Terai","DARJEELING","NUXALBARI","Proprietorship",151.75,137.37,"TRA","P.O. BELGACHI DIST. DARJEELING, (WB)",,,"AJIT PRASAD","DEONAR TEA PLANTATION, PARK, PALACE 3RD FLOOR HILCART, ROAD SILIGURI","03532430930","","","AJIT PRASAD","DEONAR TEA PLANTATION, PARK, PALACE 3RD FLOOR HILCART, ROAD SILIGURI","03532430930","","Siliguri"
150,"MERRYVIEW TEA ESTATE","666","Terai","DARJEELING","NUXALBARI","Public Ltd Co",479.73,396.05,"ITA","P.O. HATIGHISA DIST. DARJEELING, (WB)",,,"GIRDHAR GOPAL DALMIA","M/S DALMIA TEA PLANTATION&, INDUSTRIES LIMITED,, DALMISAHOUSE, 392, BLOCK-G,, KOLKATA-700053, ggdalmia@midgroup.in","03323984089/ 03323981890","03323981722","kolkata@midgroup.in","G.G. DALMIA","M/S DALMIA TEA PLANTATION&, INDUSTRIES LIMITED,, DALMISAHOUSE, 392, BLOCK-G,, KOLKATA-700053, 09831018175, ggdalmia@midgroup.in","03323984089/ 03323981890/","kolkata@midgroup.in","Kolkata"
151,"NUXALBARI","32","Terai","DARJEELING","NUXALBARI","Proprietorship",458.78,427.95,"TAI","PO: NAKSALBARI DIST: DARJELLING",,,"NUXALBARI TEA CO LTD","7/3 BURDWAN ROAD KOLKATA-27","03324796998","03324796845","jabbar@rediffmail.com","LALITA JABBAR","7/3 BURDWAN ROAD KOLKATA-27","03324796998","jabbar@rediffmail.com","Kolkata"
152,"ORD TERAI TEA GARDEN","2634","Terai","DARJEELING","NUXALBARI","Public Ltd Co",578.91,456.5,"TRA","ORD TERAI TEA GARDEN P.O:, BELGACHI DIST; DARJEELING",,,"DUARS UNION TEA CO. LTD","3A RIPON STREET KOLKATA, 700016","03322293112","03322290596","duars@vsnl.net","B.P. AGGARWAL","3A RIPON STREET, KOLKATA, 700016","03322293112","duars@vsnl.net","Kolkata"
153,"PAHARGOOMIAH TEA ESTATE","2526","Terai","DARJEELING","NUXALBARI","Proprietorship",994.48,694.78,"TRA","PAHARGOOMIAH TEA ESTATE P.O:, BAGDOGRA DIST: DARJEELING",,,"PAHARGOOMIAH TEA","INDUSTRIES PVT. LTD, NICCO HOUSE 6TH FLOOR 2, HARE STREET, KOLKATA 700 001, E-, Mail :pahargoomiah@bhatkawa.com","03322489916","03322485362","pahargoomiah@bhatkawa.com","SUDARSHAN JALAN","NICCO HOUSE 6TH FLOOR 2, HARE STREET, KOLKATA 700 001, E-, Mail :pahargoomiah@bhatkawa.com","033 22485422","pahargoomiah@bhatkawa.com","Kolkata"
154,"PANIGHATA","G 39","Terai","DARJEELING","NUXALBARI","Public Ltd Co",617.86,458.44,"TAI","PO- BELGHACHI, DIST-, DARJEELING,WB",,,"THE NEW TRAI ASSOCIATION LTD DEEPAK BERLIA","THE NEW TERAI ASSOCIATION      PO- BE, LTD, 26, BURTOLLA STREET,      DARJEE, KOLKATA                        Tel :9","9","0","deepakberlia@yahoo.com","LGHACHI, DIST-","LING,WB, 434045112, 353-2541614, :deepakberlia@yahoo.com","","deepakberlia@yahoo.com","Kolkata"
155,"SACHINDRA CHANDRA TEA ESTATE","119","Terai","DARJEELING","NUXALBARI","Public Ltd Co",377.43,224.02,"TRA","P.O. KHARIBARI,DIST-, DARJEELING,WEST BENGAL",,,"SHRI AJIT KUMAR AGARWALA","THE KHARIBARI TEA CO. LTD., AGARWALA HOUSE,2ND, MILE,SEVOKE ROAD,SILIGURI","","","","SHRI V.D. DUA","AGARWALA HOUSE,2ND, MILE,SEVOKE ROAD,SILIGURI","","teraitea@gmail.com","Siliguri"
156,"SANNYASITHAN","161","Terai","DARJEELING","NUXALBARI","Public Ltd Co",207.97,128.81,"ITA","PO-BAGDOGRA, DIST-, DARJEELING,WB",,,"SANNYASITHAN TEA CO.PVT. LTD R K SINGH","RN MUKHERJEE ROAD 700001     RN MUKHERJEE","033-22484861            700001","033-22484395","","ROAD, KOLKATA-","84861, 84395","","","Kolkata"
157,"SATISH CHANDRA TEA ESTATE","119","Terai","DARJEELING","NUXALBARI","Public Ltd Co",145,134.01,"ITPA","P.O. NAKSALBARI,DIST DARJEELING",,,"SOUTHERN TERAI TEA CO (P)","LTD., 98 BM, SARANI,MAHANANDAPARA,SILIGU, RI","9474386293","","","SOUTHERN TERAI TEA CO (P)","LTD., 98 BM, SARANI,MAHANANDAPARA,SILIGU, RI","9474386293","","Other / Unspecified"
158,"SINGHIA JHORA TEA ESTATE","2436","Terai","DARJEELING","NUXALBARI","Proprietorship",150.03,129.18,"ITA","P.O. BAGDOGRA DIST. DARJEELING, (WB)",,,"SINGHIA JHORA TEA CO. (P) LTD","TIRUMALA HOUSE 51, SHAKESPEARE SARANI, 2ND, FLOOR, KOL-17","033257604","","","MOHAN KRISHNA","TIRUMALA HOUSE 51, SHAKESPEARE SARANI, 2ND, FLOOR, KOL-17","033257604","","Kolkata"
159,"TAIPOO","Q-31","Terai","DARJEELING","NUXALBARI","Public Ltd Co",393.79,298.67,"TRA","PO- KESTOPUR, BAGDOGRA-734014,, DARJEELING, WEST BENGAL",,,"GILLANDERS ARBUTHNOT & CO.","LTD., C-4, GILLANDERS HOUSE, NETAJI, SUBHAS ROAD, KOLKATA -1","033-22302331","033-22304185","gillander@cal3.vsnl.in","M. SODHANI","C-4, GILLANDERS HOUSE, NETAJI, SUBHAS ROAD, KOLKATA -1","033-22302331","gillander@cal3.vsnl.in","Kolkata"
160,"THANJHORA TEA ESTATE","707","Terai","DARJEELING","NUXALBARI","Public Ltd Co",456.81,361.72,"TRA","P.O. KHORIBARI,WEST BENGAL",,,"JALPAIGURI DOOARS TEA CO.","LTD., HINDUSTAN BUILDING,4 C.R., AVENEUE,KOLKATA","22126753","22129696","new_tea@vsnl.in","ROSHANLAL AGARWALA","HINDUTAN BUILDING ,4 C.R., AVENUE","22126753","new_tea@vsnl.in","Kolkata"
161,"TIRRIHANNAH CO LTD","E-51","Terai","DARJEELING","NUXALBARI","Public Sector",450.7,362.12,"TAI","BAGDOGRA DARJEELING",,,"TIRRIHANNAH CO LTD","0","0","0","","GHANSHYAM DASKANKANI","0","22487093","tirrihannah.co@gmail.com","Other / Unspecified"
162,"ATIABARI TEA ESTATE","725","Dooars","JALPAIGURI","KALCHINI","Public Ltd Co",757.64,556.57,"ITPA","P.O. ATIABARI BAGAN,DIST, JALPAIGURI",,,"ATIABARI TEA COMPANY LTD","2ND MILE,233 SEOKE, ROAD,SILIGURI","03532544704","03532545273","sevokemotors@vsnl.net","MR. NARENDRA BERLIA","2ND MILE,233 SEOKE, ROAD,SILIGURI","03532544704","sevokemotors@vsnl.net","Siliguri"
163,"BEECH TEA ESTATE","P-6","Dooars","JALPAIGURI","KALCHINI","Public Ltd Co",934.66,785.12,"ITA","P.O. HASIMARA DIST. JALPAIGURI, (WB)",,,"KANISKA SETHIA","M/S THE DIBRUGHAR TEA CO., LTD. ASHOKA HOUSE 3A HARE, STREET KOLKATA 700001","03322622669","03324858526","sumeet@westcong.com","S. ROY CHOWDHURY","M/S THE DIBRUGHAR TEA CO., LTD. ASHOKA HOUSE 3A HARE, STREET KOLKATA 700001","03322622669","sumeet@westcong.com","Kolkata"
164,"BHARNOBARI TEA ESTATE","P-7","Dooars","JALPAIGURI","KALCHINI","Public Ltd Co",867.49,726.74,"TRA","P.O. HASIMARA DIST. JALPAIGURI, (WB)",,,"BARNOBARI TEA & INDUSTRIES PVT. LTD.","25 SWALLOW LANE KOLKATA1","03324482858","03324482858","","S. JOSHI","M/S BARNOBARI TEA &, INDUATRIES PVT. LTD. 25, SWALLOW LANE KOLKATA1","03324482858","","Kolkata"
165,"BHATKAWA TEA ESTATE","E-23","Dooars","JALPAIGURI","KALCHINI","Public Ltd Co",783.46,634.47,"ITA","P.O:GAROPARA, P.S:KALCHINI, DIST.JALPAIGURI, WEST BENGAL",,,"BHATKAWA TEA INDUSTRIES LTD. SRI SUDARSHAN JALAN","NICCO HOUSE,                 NICCO HOUSE, 6TH FLOOR,                   6TH FLOOR,, 2,HARE STREET                2,HARE STRE, KOLKATA-01                   KOLKATA-01","033-22489916","033-22485362","contact@bhatkawa.com",",","ET, 489916, 485362, tact@bhatkawa.com","","tact@bhatkawa.com","Kolkata"
166,"BHATPARA TEA ESTATE","2579","Dooars","JALPAIGURI","KALCHINI","Public Ltd Co",1251.44,631.97,"ITA","P.O : KALCHINI, DIST.JALPAIGURI, WEST BENGAL",,,"MCLEOD RUSSEL INDIA LIMITED","FOUR MANGOE LANE, S.M.GHOSH SARANI, KOLKATA-700001 (W.B)","033-22101221","033-22488114","","MR. RAJEEV TAKRU","MCLEOD RUSSEL INDIA LTD,, FOUR MANGOE LANE, S.M.GHOSH SARANI, KOLKATA-1","033-22101222","rajiv_takru@wmg.co.in","Kolkata"
167,"CENTRAL DOOARS TEA ESTATE","N-2","Dooars","JALPAIGURI","KALCHINI","Public Ltd Co",1225.6,761.59,"ITA","P.O : PANABASTI, P.S:KALCHINI, DIST:JALPAIGURI, WEST BENGAL-735226",,,"MCLEOD RUSSEL INDIA LIMITED","FOUR MANGOE LANE, S.M.GHOSH SARANI, KOLKATA-1","033-22101222","","central-dooars@wmg.co.in","MR. RAJEEV TAKRU","MCLEOD RUSSEL INDIA LTD,, FOUR MANGOE LANE, S.M.GHOSH SARANI, KOLKATA-1","033-22101222","rajiv_takru@wmg.co.in","Kolkata"
